Sl_no,SRO,YEAR,LOCATION
360, Central -Asaf Ali (SR III),2021-2022, Sunder Vihar*
361, Central -Asaf Ali (SR III),2021-2022, Sunlight Colony*
362, Central -Asaf Ali (SR III),2021-2022, Swami Ramtirth Nagar (manakpura)
363, Central -Asaf Ali (SR III),2021-2022, Tagore Garden*
364, Central -Asaf Ali (SR III),2021-2022, Tagore Road*
365, Central -Asaf Ali (SR III),2021-2022, Taimoor Nagar*
366, Central -Asaf Ali (SR III),2021-2022, Tajpur*
367, Central -Asaf Ali (SR III),2021-2022, Thomson Road*
368, Central -Asaf Ali (SR III),2021-2022, Tibbia College*
369, Central -Asaf Ali (SR III),2021-2022, Tilak Bridge*
370, Central -Asaf Ali (SR III),2021-2022, Tilak Nagar*
371, Central -Asaf Ali (SR III),2021-2022, Timarpur*
372, Central -Asaf Ali (SR III),2021-2022, Tiraha Behram Khan
373, Central -Asaf Ali (SR III),2021-2022, Tiraha Behram Khan*
374, Central -Asaf Ali (SR III),2021-2022, Tis Hazari*
375, Central -Asaf Ali (SR III),2021-2022, Turkman Gate
376, Central -Asaf Ali (SR III),2021-2022, Uday Park*
377, Central -Asaf Ali (SR III),2021-2022, Uttam Nagar*
378, Central -Asaf Ali (SR III),2021-2022, Varinder Nagar*
379, Central -Asaf Ali (SR III),2021-2022, Vasant Kunj*
380, Central -Asaf Ali (SR III),2021-2022, Vijay Nagar*
381, Central -Asaf Ali (SR III),2021-2022, Vikas Puri*
382, Central -Asaf Ali (SR III),2021-2022, Vikram Nagar (Minto Road)
383, Central -Asaf Ali (SR III),2021-2022, Vikram Nagar*
384, Central -Asaf Ali (SR III),2021-2022, W.E.A. Karol Bagh
385, Central -Asaf Ali (SR III),2021-2022, Wazir Nagar*
386, Central -Asaf Ali (SR III),2021-2022, West Patel Nagar*
387, Central -Asaf Ali (SR III),2021-2022, Yamuna Bazar*
388, Central -Asaf Ali (SR III),2021-2022, Yusuf Sarai*
389, Central -Asaf Ali (SR III),2021-2022, Zakhira*
390, Central -Asaf Ali (SR III),2021-2022, Zakir Nagar*
391, Central -Asaf Ali (SR III),2021-2022, Zamrud Pur*
